Abiotrophia,Acetitomaculum,Acidaminobacter,Actinobaculum,Actinotignum,Aggregatibacter,Akkermansia,Alkalibacter,Alloprevotella,Alloscardovia,Anaeroglobus,Anaeroplasma,Anaerosolibacter,Anaerostipes,Anaerovorax,Arcobacter,Arthrobacter,Azorhizophilus,Bavariicoccus,Bifidobacterium,Brachyspira,Bulleidia,Butyrivibrio,Carnobacterium,Catabacter,Cedecea,Christensenella,Cloacibacterium,Clostridium.XI,Clostridium.XlVb,Coriobacterium,Cosenzaea,Cronobacter,Desulfohalobium,Dysgonomonas,Erwinia,Erysipelothrix,Erysipelotrichaceae_incertae_sedis,Facklamia,Falsiporphyromonas,Finegoldia,Fusicatenibacter,Gardnerella,Geopsychrobacter,Haemophilus,Herbaspirillum,Howardella,Hungatella,Intestinibacter,Kandleria,Lactococcus,Lawsonia,Leclercia,Lelliottia,Mangrovibacter,Mangrovibacterium,Melissococcus,Meniscus,Mesorhizobium,Methanobrevibacter,Methanosphaera,Methylobacterium,Mobiluncus,Moellerella,Natranaerovirga,Neisseria,Obesumbacterium,Odoribacter,Oscillibacter,Parabacteroides,Parvimonas,Pelomonas,Pelospora,Peptostreptococcus,Pilibacter,Piscinibacter,Plesiomonas,Porphyromonas,Propionispora,Providencia,Pseudomonas,Pseudoramibacter,Pseudoxanthomonas,Puniceicoccus,Ralstonia,Renibacterium,Romboutsia,Rosenbergiella,Rothia,Samsonia,Schwartzia,Sharpea,Sphingomonas,Sporacetigenium,Subdoligranulum,Sutterella,Tepidimicrobium,Terrisporobacter,Varibaculum,Victivallis
0,0.001362278,0.00122632,0,0,0,0.034131431,0,0.007552891,0,0,0,0,0.140243727,0.004121188,0,0,0.001244035,0,0.123489153,0,0,0.009302368,0,0.002910473,0,0.003111938,0,0.001564063,0.003986659,0.002236934,0,0,0,0,0,0,0,0,0,0,0.086144623,0.001295462,0,0.029017585,6.59674120984234e-05,0,0.008696776,0.011926574,0.001172071,0,0,0.001227829,0,0,0,0,0,0,0.007552889,0,0,0,0,0,0,0,0.100476851,0.115347373,0.171195948,0,0,0,0,0.001295141,0,0,0.001362491,0,0,0.003377704,0,0,0.001170485,0,0,0.011993868,0,0,0,0,0,0,0.001170538,0.001967999,0.144684697,0,0.011051817,0,0.011993884
0,0.002128265,0,0,0,0,0.007310053,0,0.002473701,0,0.002128248,0,0,0.022648196,0.002680979,0,0,0,0,0.009106412,0,0,0.027968183,0,0,0,0.004891874,0,0,0.046760862,0.002128237,0,0,0,0,0,0,0.002266402,0,0,0,0.049662675,0,0,0.002197338,0,0,0.002888251,0,0,0.002957336,0,0,0,0,0,0,0,0,0,0,0.002068573,0,0,0,0,0,0.091600752,0.119997045,0.667886594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00862277,0,0,0,0,0,0,0.002065317,0.002404609,0.006066419,0,0,0,0
0,0.001779761,0.001696632,0,0,0,0.001738227,0,0.001904387,0,0.001717458,0,0,0.035821851,0.001696687,0,0,0,0,0.001758997,0,0,0.01037856,0,0,0,0,0,0,0.00452141,0.001758991,0,0,0,0,0,0,0.001966676,0,0,0,0.093687163,0.00173812,0,0.001842078,0,0,0.001987472,0.002589798,0,0.001966696,0,0,0,0,0.001681398,0.001696359,0,0,0,0,0.001682385,0,0,0,0,0,0.001758997,0.006016854,0.898152078,0.001758922,0,0,0,0,0,0,0.001738186,0,0,0,0,0,0,0,0,0.00919466,0,0.001758932,0,0,0,0,0.00168308,0.001779764,0.001842077,0,0.002153621,0,0
0,0.000200427,0,0,0,0,0.000400823,0,0.000400823,0,0,0.000200476,0,0.137341365,0,0,0,0,0,0.001402827,0,0,0.110020056,0,0,0,0,0,0.000133405,0.013894477,0,0,0,0,0,0,0,0.000267306,0,0,0.00066782,0.639478949,0,0,0.000133623,0,0,0.034936552,0.031930547,0,6.68242093457141e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000267223,0.023647315,0.001803629,0,0,0,0,6.68241297789152e-05,0,0,0,0,0,0,0,0,0,0,0,0.001336025,0,6.6601285919333e-05,6.68366548938943e-05,0,0,0,0,0.00053442,0.000734824,0,0,0,0
0,0.000172431,0.000287204,0,0,0,0.14453193,0,0.000689636,0,0,0,0,0.005804284,0.004310112,0.000172599,0,0,0,0.079133396,0,0,5.74890246039185e-05,0,0.001149392,0,0.004195182,0,0,0.013964735,0.000459817,0,0,0,0,0,0,0,0,5.74621609674217e-05,0,0.029710954,0.000172316,0,0.000632169,0,5.74773105438439e-05,0.006551367,0.001896464,0,0.00022988,0.00057405,0,0,5.76623173805753e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.082524005,0.31377506,0.268030567,0,0,0,0,0.000114984,0,0,0,0,0,0,0,0,0,0,0,0.002356206,0,0,0,0,0,0,0,0.000459765,0.037871403,0,0,0,0
0.000120535,6.1111070113381e-05,0,0,0,0,0.036973633,0,0.000354989,0,0,0,0,0.004587,0.000825208,0,0,0,8.21570477791022e-06,0.243813131,0,0,0.001412992,0,0,0,0.001471762,0,0,0.024512715,0.000119853,0,0,0,0,0,0,0.001119088,0,0,0,0.226708756,0.000178741,0,0.000531322,0,6.10894136783579e-05,0.002588551,0.000354984,0,0.000237425,0,0,0,0,0,6.18616967183999e-05,0,0,0,0,0,0,0,0,0,0,0.000237433,0.037796524,0.149474571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001941999,0,0,0,0,0,0,0,0.000942774,0.263503734,0,0,0,0
0.000863038,0,0.000863017,0,0,0,0.257071248,0,0.000943282,0,0.000836307,0,0,0.008592086,0.002146767,0,0,0,0,0.334548821,0,0,0.001050258,0,0.000996739,0,0.003136296,0,0.001023605,0.001210724,0.001290988,0,0,0,0,0,0,0.001103759,0,0,0.00088988,0.005275822,0.00126408,0,0.001825838,0,0,0.001451417,0.00158514,0,0.001585136,0,0,0,0.000836229,0,0,0,0,0.004714197,0,0,0.000916738,0,0,0.000836312,0,0.079998755,0.275230471,0.040176834,0,0,0,0,0,0,0,0.001692036,0,0,0,0,0,0.000817878,0,0,0.008511851,0.000836253,0,0,0,0,0,0,0.001264214,0.000943282,0.000814145,0.001077003,0,0.007335114
0,0.00360248,0,0,0,0,0.003945302,0,0.004082423,0,0,0,0,0.174248545,0,0,0,0,0,0.003328261,0,0,0.026638691,0,0,0,0,0,0,0.02705005,0,0,0,0,0,0,0,0.008539076,0,0,0,0.362377399,0,0,0.007716099,0.003289021,0.003465267,0.004425165,0.007647547,0,0.003465395,0,0,0,0,0.003271583,0,0,0.003273756,0,0,0,0,0,0,0,0,0.003945304,0.018822841,0.005590744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123925554,0,0.003535362,0,0,0,0,0.003414233,0.004150985,0.322612553,0,0,0,0
0,0.001715486,0.00117155,0,0,0,0.118856701,0,0.001171751,0,0.001171752,0,0,0.085454371,0.003424464,0,0,0,0,0.003968225,0,0,0.038069672,0,0,0,0.003424466,0,0,0.019659551,0.001327072,0,0,0,0,0,0,0,0,0,0,0.15645374,0,0,0.001171752,0,0,0.002259273,0,0,0.002414631,0,0,0,0,0,0,0,0,0.001249431,0,0,0,0,0,0,0,0.126003246,0.213859139,0.213393059,0.001327035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00117183,0,0,0,0,0,0.001023991,0.036360712,0.001249431,0,0,0,0.002647668
0,0.001799172,0,0,0,0,0.007704839,0,0.131335515,0,0,0,0,0.062738337,0.002123626,0,0,0,0,0.011079534,0,0,0.002577896,0,0.001085175,0,0.004005647,0,0.001409584,0.011468921,0.000890482,0,0,0,0,0,0,0,0,0,0,0.089022024,0,0,0.00186402,0.000843067,0,0.004589732,0,0,0.002253411,0,0,0,0,0,0,0,0,0.019581166,0,0,0,0,0.001280081,0,0,0.070006912,0.270736404,0.243024961,0,0,0,0,0.000890585,0,0,0,0,0,0.000890653,0,0,0,0,0,0.012312591,0,0,0,0,0,0,0,0.002123614,0.002512999,0,0,0,0.076886089
