sample_id,batch_id,days,phenotype
E1aJ16,A,16,0
E5aJ16,A,16,0
E6aJ16,A,16,0
E6aJ48,A,48,0
E7aJ16,A,16,1
E7aJ26,A,26,1
E7aJ61,A,61,1
E8aJ16,A,16,1
E9aJ16,A,16,1
E1aJ5,B,5,0
E1aJ40,B,40,0
E6aJ5,B,5,0
E6aJ40,B,40,0
E7aJ5,B,5,1
E7aJ40,B,40,1
E7aJ48,B,48,1
E7aJ69,B,69,1
E8aJ69,B,69,1
E8aJ96,B,96,1
E8bJ16,B,16,1
E8bJ69,B,69,1
E8bJ96,B,96,1
E8cJ16,B,16,1
E8cJ69,B,69,1
E8cJ96,B,96,1
E1aJ0,C,0,0
E1bJ5,C,5,0
E1bJ16,C,16,0
E1bJ40,C,40,0
E4aJ5,C,5,0
E4aJ16,C,16,0
E4aJ40,C,40,0
E5aJ40,C,40,0
E8aJ0,C,0,1
E8aJ5,C,5,1
E8aJ40,C,40,1
E8aJ111,C,111,1
E8bJ5,C,5,1
E8bJ40,C,40,1
E8bJ82,C,82,1
E8bJ111,C,111,1
E8cJ5,C,5,1
E8cJ40,C,40,1
E8cJ111,C,111,1
E9aJ5,C,5,1
E9aJ40,C,40,1
E1cJ5,D,5,0
E1cJ16,D,16,0
E1cJ40,D,40,0
E5aJ5,D,5,0
E6aJ54,D,54,0
E6bJ16,D,16,0
E6bJ40,D,40,0
E6bJ54,D,54,0
E7aJ40,D,40,1
E7aJ54,D,54,1
E7aJ96,D,96,1
E7bJ26,D,26,1
E7bJ40,D,40,1
E7bJ54,D,54,1
E7bJ69,D,69,1
E8aJ82,D,82,1
E8cJ82,D,82,1
E1aJ40,E,40,0
E6aJ40,E,40,0
E7aJ40,E,40,1
E7aJ48,E,48,1
E7aJ69,E,69,1
E7bJ69,E,69,1
E8aJ69,E,69,1
E8aJ96,E,96,1
E8bJ69,E,69,1
E8bJ96,E,96,1
E8cJ69,E,69,1
E8cJ96,E,96,1
